ID,Запрос,Частотность,Wordstat подтверждён,Исходный запрос,Период,Кластер,Подкластер,Интент,Тип страницы,Продукт,Коммерческий потенциал,Приоритет,Волна,Целевой URL,Статус,Источник,Примечание
343,кассовый разрыв подрядчика — образец документа,,Нет,Кассовый разрыв подрядчика,Требует проверки,Неоплата,Кассовый разрыв подрядчика,Шаблон / лид-магнит,Лид-магнит / шаблон,Диагностика объекта,3,3,3 — расширение,/materialy/kassovyi-razryv-podryadchika-obrazec-dokumenta/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
344,кассовый разрыв подрядчика — сроки и последствия,,Нет,Кассовый разрыв подрядчика,Требует проверки,Неоплата,Кассовый разрыв подрядчика,Проблемный информационный,Статья базы знаний,Диагностика объекта,4,3,3 — расширение,/baza-znanii/kassovyi-razryv-podryadchika-sroki-i-posledstviya/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
345,кассовый разрыв подрядчика — для субподрядчика,,Нет,Кассовый разрыв подрядчика,Требует проверки,Неоплата,Кассовый разрыв подрядчика,Информационный,Статья базы знаний,Диагностика объекта,2,3,3 — расширение,/baza-znanii/kassovyi-razryv-podryadchika-dlya-subpodryadchika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
346,кассовый разрыв подрядчика — для генподрядчика,,Нет,Кассовый разрыв подрядчика,Требует проверки,Неоплата,Кассовый разрыв подрядчика,Информационный,Статья базы знаний,Диагностика объекта,2,3,3 — расширение,/baza-znanii/kassovyi-razryv-podryadchika-dlya-genpodryadchika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
347,кассовый разрыв подрядчика — пошаговый алгоритм,,Нет,Кассовый разрыв подрядчика,Требует проверки,Неоплата,Кассовый разрыв подрядчика,Информационный,Статья базы знаний,Диагностика объекта,2,3,3 — расширение,/baza-znanii/kassovyi-razryv-podryadchika-poshagovyi-algoritm/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
348,кассовый разрыв подрядчика — судебная практика,,Нет,Кассовый разрыв подрядчика,Требует проверки,Неоплата,Кассовый разрыв подрядчика,Информационный,Статья базы знаний,Диагностика объекта,2,3,3 — расширение,/baza-znanii/kassovyi-razryv-podryadchika-sudebnaya-praktika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
349,просрочка оплаты — порядок оформления,,Нет,Просрочка оплаты,Требует проверки,Неоплата,Просрочка оплаты,Проблемный информационный,Статья базы знаний,Диагностика объекта,4,3,3 — расширение,/baza-znanii/prosrochka-oplaty-poryadok-oformleniya/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
350,просрочка оплаты — проверка перед подписанием,,Нет,Просрочка оплаты,Требует проверки,Неоплата,Просрочка оплаты,Коммерческое исследование,Коммерческая страница,Диагностика объекта,5,3,3 — расширение,/proverki/prosrochka-oplaty-proverka-pered-podpisaniem/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
351,просрочка оплаты — типовые ошибки,,Нет,Просрочка оплаты,Требует проверки,Неоплата,Просрочка оплаты,Проблемный информационный,Статья базы знаний,Диагностика объекта,4,3,3 — расширение,/baza-znanii/prosrochka-oplaty-tipovye-oshibki/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
352,просрочка оплаты — что делать подрядчику,,Нет,Просрочка оплаты,Требует проверки,Неоплата,Просрочка оплаты,Проблемный информационный,Статья базы знаний,Диагностика объекта,4,3,3 — расширение,/baza-znanii/prosrochka-oplaty-chto-delat-podryadchiku/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
353,просрочка оплаты — образец документа,,Нет,Просрочка оплаты,Требует проверки,Неоплата,Просрочка оплаты,Шаблон / лид-магнит,Лид-магнит / шаблон,Диагностика объекта,3,3,3 — расширение,/materialy/prosrochka-oplaty-obrazec-dokumenta/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
354,просрочка оплаты — сроки и последствия,,Нет,Просрочка оплаты,Требует проверки,Неоплата,Просрочка оплаты,Проблемный информационный,Статья базы знаний,Диагностика объекта,4,3,3 — расширение,/baza-znanii/prosrochka-oplaty-sroki-i-posledstviya/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
355,просрочка оплаты — для субподрядчика,,Нет,Просрочка оплаты,Требует проверки,Неоплата,Просрочка оплаты,Информационный,Статья базы знаний,Диагностика объекта,2,3,3 — расширение,/baza-znanii/prosrochka-oplaty-dlya-subpodryadchika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
356,просрочка оплаты — для генподрядчика,,Нет,Просрочка оплаты,Требует проверки,Неоплата,Просрочка оплаты,Информационный,Статья базы знаний,Диагностика объекта,2,3,3 — расширение,/baza-znanii/prosrochka-oplaty-dlya-genpodryadchika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
357,просрочка оплаты — пошаговый алгоритм,,Нет,Просрочка оплаты,Требует проверки,Неоплата,Просрочка оплаты,Информационный,Статья базы знаний,Диагностика объекта,2,3,3 — расширение,/baza-znanii/prosrochka-oplaty-poshagovyi-algoritm/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
358,просрочка оплаты — судебная практика,,Нет,Просрочка оплаты,Требует проверки,Неоплата,Просрочка оплаты,Информационный,Статья базы знаний,Диагностика объекта,2,3,3 — расширение,/baza-znanii/prosrochka-oplaty-sudebnaya-praktika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
359,возврат гарантийного удержания — порядок оформления,,Нет,Возврат гарантийного удержания,Требует проверки,Удержания,Возврат гарантийного удержания,Проблемный информационный,Статья базы знаний,Диагностика объекта,4,3,3 — расширение,/baza-znanii/vozvrat-garantiinogo-uderzhaniya-poryadok-oformleniya/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
360,возврат гарантийного удержания — проверка перед подписанием,,Нет,Возврат гарантийного удержания,Требует проверки,Удержания,Возврат гарантийного удержания,Коммерческое исследование,Коммерческая страница,Диагностика объекта,5,3,3 — расширение,/proverki/vozvrat-garantiinogo-uderzhaniya-proverka-pered-podpisaniem/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
361,возврат гарантийного удержания — типовые ошибки,,Нет,Возврат гарантийного удержания,Требует проверки,Удержания,Возврат гарантийного удержания,Проблемный информационный,Статья базы знаний,Диагностика объекта,4,3,3 — расширение,/baza-znanii/vozvrat-garantiinogo-uderzhaniya-tipovye-oshibki/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
362,возврат гарантийного удержания — что делать подрядчику,,Нет,Возврат гарантийного удержания,Требует проверки,Удержания,Возврат гарантийного удержания,Проблемный информационный,Статья базы знаний,Диагностика объекта,4,3,3 — расширение,/baza-znanii/vozvrat-garantiinogo-uderzhaniya-chto-delat-podryadchiku/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
363,возврат гарантийного удержания — образец документа,,Нет,Возврат гарантийного удержания,Требует проверки,Удержания,Возврат гарантийного удержания,Шаблон / лид-магнит,Лид-магнит / шаблон,Диагностика объекта,3,3,3 — расширение,/materialy/vozvrat-garantiinogo-uderzhaniya-obrazec-dokumenta/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
364,возврат гарантийного удержания — сроки и последствия,,Нет,Возврат гарантийного удержания,Требует проверки,Удержания,Возврат гарантийного удержания,Проблемный информационный,Статья базы знаний,Диагностика объекта,4,3,3 — расширение,/baza-znanii/vozvrat-garantiinogo-uderzhaniya-sroki-i-posledstviya/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
365,возврат гарантийного удержания — для субподрядчика,,Нет,Возврат гарантийного удержания,Требует проверки,Удержания,Возврат гарантийного удержания,Проблемный информационный,Статья базы знаний,Диагностика объекта,4,3,3 — расширение,/baza-znanii/vozvrat-garantiinogo-uderzhaniya-dlya-subpodryadchika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
366,возврат гарантийного удержания — для генподрядчика,,Нет,Возврат гарантийного удержания,Требует проверки,Удержания,Возврат гарантийного удержания,Проблемный информационный,Статья базы знаний,Диагностика объекта,4,3,3 — расширение,/baza-znanii/vozvrat-garantiinogo-uderzhaniya-dlya-genpodryadchika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
367,возврат гарантийного удержания — пошаговый алгоритм,,Нет,Возврат гарантийного удержания,Требует проверки,Удержания,Возврат гарантийного удержания,Проблемный информационный,Статья базы знаний,Диагностика объекта,4,3,3 — расширение,/baza-znanii/vozvrat-garantiinogo-uderzhaniya-poshagovyi-algoritm/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
368,возврат гарантийного удержания — судебная практика,,Нет,Возврат гарантийного удержания,Требует проверки,Удержания,Возврат гарантийного удержания,Проблемный информационный,Статья базы знаний,Диагностика объекта,4,3,3 — расширение,/baza-znanii/vozvrat-garantiinogo-uderzhaniya-sudebnaya-praktika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
369,дополнительные работы без согласования — порядок оформления,,Нет,Дополнительные работы без согласования,Требует проверки,Допработы,Дополнительные работы без согласования,Проблемный информационный,Статья базы знаний,Пакет «Допработы без потерь»,4,3,3 — расширение,/baza-znanii/dopolnitelnye-raboty-bez-soglasovaniya-poryadok-oformleniya/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
370,дополнительные работы без согласования — проверка перед подписанием,,Нет,Дополнительные работы без согласования,Требует проверки,Допработы,Дополнительные работы без согласования,Коммерческое исследование,Коммерческая страница,Пакет «Допработы без потерь»,5,3,3 — расширение,/proverki/dopolnitelnye-raboty-bez-soglasovaniya-proverka-pered-podpisaniem/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
371,дополнительные работы без согласования — типовые ошибки,,Нет,Дополнительные работы без согласования,Требует проверки,Допработы,Дополнительные работы без согласования,Проблемный информационный,Статья базы знаний,Пакет «Допработы без потерь»,4,3,3 — расширение,/baza-znanii/dopolnitelnye-raboty-bez-soglasovaniya-tipovye-oshibki/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
372,дополнительные работы без согласования — что делать подрядчику,,Нет,Дополнительные работы без согласования,Требует проверки,Допработы,Дополнительные работы без согласования,Проблемный информационный,Статья базы знаний,Пакет «Допработы без потерь»,4,3,3 — расширение,/baza-znanii/dopolnitelnye-raboty-bez-soglasovaniya-chto-delat-podryadchiku/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
373,дополнительные работы без согласования — образец документа,,Нет,Дополнительные работы без согласования,Требует проверки,Допработы,Дополнительные работы без согласования,Шаблон / лид-магнит,Лид-магнит / шаблон,Пакет «Допработы без потерь»,3,3,3 — расширение,/materialy/dopolnitelnye-raboty-bez-soglasovaniya-obrazec-dokumenta/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
374,дополнительные работы без согласования — сроки и последствия,,Нет,Дополнительные работы без согласования,Требует проверки,Допработы,Дополнительные работы без согласования,Проблемный информационный,Статья базы знаний,Пакет «Допработы без потерь»,4,3,3 — расширение,/baza-znanii/dopolnitelnye-raboty-bez-soglasovaniya-sroki-i-posledstviya/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
375,дополнительные работы без согласования — для субподрядчика,,Нет,Дополнительные работы без согласования,Требует проверки,Допработы,Дополнительные работы без согласования,Информационный,Статья базы знаний,Пакет «Допработы без потерь»,2,3,3 — расширение,/baza-znanii/dopolnitelnye-raboty-bez-soglasovaniya-dlya-subpodryadchika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
376,дополнительные работы без согласования — для генподрядчика,,Нет,Дополнительные работы без согласования,Требует проверки,Допработы,Дополнительные работы без согласования,Информационный,Статья базы знаний,Пакет «Допработы без потерь»,2,3,3 — расширение,/baza-znanii/dopolnitelnye-raboty-bez-soglasovaniya-dlya-genpodryadchika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
377,дополнительные работы без согласования — пошаговый алгоритм,,Нет,Дополнительные работы без согласования,Требует проверки,Допработы,Дополнительные работы без согласования,Информационный,Статья базы знаний,Пакет «Допработы без потерь»,2,3,3 — расширение,/baza-znanii/dopolnitelnye-raboty-bez-soglasovaniya-poshagovyi-algoritm/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
378,дополнительные работы без согласования — судебная практика,,Нет,Дополнительные работы без согласования,Требует проверки,Допработы,Дополнительные работы без согласования,Информационный,Статья базы знаний,Пакет «Допработы без потерь»,2,3,3 — расширение,/baza-znanii/dopolnitelnye-raboty-bez-soglasovaniya-sudebnaya-praktika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
379,оплата дополнительных работ — порядок оформления,,Нет,Оплата дополнительных работ,Требует проверки,Допработы,Оплата дополнительных работ,Проблемный информационный,Статья базы знаний,Пакет «Допработы без потерь»,4,3,3 — расширение,/baza-znanii/oplata-dopolnitelnyh-rabot-poryadok-oformleniya/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
380,оплата дополнительных работ — проверка перед подписанием,,Нет,Оплата дополнительных работ,Требует проверки,Допработы,Оплата дополнительных работ,Коммерческое исследование,Коммерческая страница,Пакет «Допработы без потерь»,5,3,3 — расширение,/proverki/oplata-dopolnitelnyh-rabot-proverka-pered-podpisaniem/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
381,оплата дополнительных работ — типовые ошибки,,Нет,Оплата дополнительных работ,Требует проверки,Допработы,Оплата дополнительных работ,Проблемный информационный,Статья базы знаний,Пакет «Допработы без потерь»,4,3,3 — расширение,/baza-znanii/oplata-dopolnitelnyh-rabot-tipovye-oshibki/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
382,оплата дополнительных работ — что делать подрядчику,,Нет,Оплата дополнительных работ,Требует проверки,Допработы,Оплата дополнительных работ,Проблемный информационный,Статья базы знаний,Пакет «Допработы без потерь»,4,3,3 — расширение,/baza-znanii/oplata-dopolnitelnyh-rabot-chto-delat-podryadchiku/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
383,оплата дополнительных работ — образец документа,,Нет,Оплата дополнительных работ,Требует проверки,Допработы,Оплата дополнительных работ,Шаблон / лид-магнит,Лид-магнит / шаблон,Пакет «Допработы без потерь»,3,3,3 — расширение,/materialy/oplata-dopolnitelnyh-rabot-obrazec-dokumenta/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
384,оплата дополнительных работ — сроки и последствия,,Нет,Оплата дополнительных работ,Требует проверки,Допработы,Оплата дополнительных работ,Проблемный информационный,Статья базы знаний,Пакет «Допработы без потерь»,4,3,3 — расширение,/baza-znanii/oplata-dopolnitelnyh-rabot-sroki-i-posledstviya/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
385,оплата дополнительных работ — для субподрядчика,,Нет,Оплата дополнительных работ,Требует проверки,Допработы,Оплата дополнительных работ,Информационный,Статья базы знаний,Пакет «Допработы без потерь»,2,3,3 — расширение,/baza-znanii/oplata-dopolnitelnyh-rabot-dlya-subpodryadchika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
386,оплата дополнительных работ — для генподрядчика,,Нет,Оплата дополнительных работ,Требует проверки,Допработы,Оплата дополнительных работ,Информационный,Статья базы знаний,Пакет «Допработы без потерь»,2,3,3 — расширение,/baza-znanii/oplata-dopolnitelnyh-rabot-dlya-genpodryadchika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
387,оплата дополнительных работ — пошаговый алгоритм,,Нет,Оплата дополнительных работ,Требует проверки,Допработы,Оплата дополнительных работ,Информационный,Статья базы знаний,Пакет «Допработы без потерь»,2,3,3 — расширение,/baza-znanii/oplata-dopolnitelnyh-rabot-poshagovyi-algoritm/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
388,оплата дополнительных работ — судебная практика,,Нет,Оплата дополнительных работ,Требует проверки,Допработы,Оплата дополнительных работ,Информационный,Статья базы знаний,Пакет «Допработы без потерь»,2,3,3 — расширение,/baza-znanii/oplata-dopolnitelnyh-rabot-sudebnaya-praktika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
389,простой на объекте — порядок оформления,,Нет,Простой на объекте,Требует проверки,Допработы,Простой на объекте,Проблемный информационный,Статья базы знаний,Пакет «Допработы без потерь»,4,3,3 — расширение,/baza-znanii/prostoi-na-obekte-poryadok-oformleniya/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
390,простой на объекте — проверка перед подписанием,,Нет,Простой на объекте,Требует проверки,Допработы,Простой на объекте,Коммерческое исследование,Коммерческая страница,Пакет «Допработы без потерь»,5,3,3 — расширение,/proverki/prostoi-na-obekte-proverka-pered-podpisaniem/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
391,простой на объекте — типовые ошибки,,Нет,Простой на объекте,Требует проверки,Допработы,Простой на объекте,Проблемный информационный,Статья базы знаний,Пакет «Допработы без потерь»,4,3,3 — расширение,/baza-znanii/prostoi-na-obekte-tipovye-oshibki/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
392,простой на объекте — что делать подрядчику,,Нет,Простой на объекте,Требует проверки,Допработы,Простой на объекте,Проблемный информационный,Статья базы знаний,Пакет «Допработы без потерь»,4,3,3 — расширение,/baza-znanii/prostoi-na-obekte-chto-delat-podryadchiku/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
393,простой на объекте — образец документа,,Нет,Простой на объекте,Требует проверки,Допработы,Простой на объекте,Шаблон / лид-магнит,Лид-магнит / шаблон,Пакет «Допработы без потерь»,3,3,3 — расширение,/materialy/prostoi-na-obekte-obrazec-dokumenta/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
394,простой на объекте — сроки и последствия,,Нет,Простой на объекте,Требует проверки,Допработы,Простой на объекте,Проблемный информационный,Статья базы знаний,Пакет «Допработы без потерь»,4,3,3 — расширение,/baza-znanii/prostoi-na-obekte-sroki-i-posledstviya/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
395,простой на объекте — для субподрядчика,,Нет,Простой на объекте,Требует проверки,Допработы,Простой на объекте,Информационный,Статья базы знаний,Пакет «Допработы без потерь»,2,3,3 — расширение,/baza-znanii/prostoi-na-obekte-dlya-subpodryadchika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
396,простой на объекте — для генподрядчика,,Нет,Простой на объекте,Требует проверки,Допработы,Простой на объекте,Информационный,Статья базы знаний,Пакет «Допработы без потерь»,2,3,3 — расширение,/baza-znanii/prostoi-na-obekte-dlya-genpodryadchika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
397,простой на объекте — пошаговый алгоритм,,Нет,Простой на объекте,Требует проверки,Допработы,Простой на объекте,Информационный,Статья базы знаний,Пакет «Допработы без потерь»,2,3,3 — расширение,/baza-znanii/prostoi-na-obekte-poshagovyi-algoritm/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
398,простой на объекте — судебная практика,,Нет,Простой на объекте,Требует проверки,Допработы,Простой на объекте,Информационный,Статья базы знаний,Пакет «Допработы без потерь»,2,3,3 — расширение,/baza-znanii/prostoi-na-obekte-sudebnaya-praktika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
399,изменение объёма работ — порядок оформления,,Нет,Изменение объёма работ,Требует проверки,Допработы,Изменение объёма работ,Проблемный информационный,Статья базы знаний,Пакет «Допработы без потерь»,4,3,3 — расширение,/baza-znanii/izmenenie-obema-rabot-poryadok-oformleniya/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
400,изменение объёма работ — проверка перед подписанием,,Нет,Изменение объёма работ,Требует проверки,Допработы,Изменение объёма работ,Коммерческое исследование,Коммерческая страница,Пакет «Допработы без потерь»,5,3,3 — расширение,/proverki/izmenenie-obema-rabot-proverka-pered-podpisaniem/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
401,изменение объёма работ — типовые ошибки,,Нет,Изменение объёма работ,Требует проверки,Допработы,Изменение объёма работ,Проблемный информационный,Статья базы знаний,Пакет «Допработы без потерь»,4,3,3 — расширение,/baza-znanii/izmenenie-obema-rabot-tipovye-oshibki/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
402,изменение объёма работ — что делать подрядчику,,Нет,Изменение объёма работ,Требует проверки,Допработы,Изменение объёма работ,Проблемный информационный,Статья базы знаний,Пакет «Допработы без потерь»,4,3,3 — расширение,/baza-znanii/izmenenie-obema-rabot-chto-delat-podryadchiku/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
403,изменение объёма работ — образец документа,,Нет,Изменение объёма работ,Требует проверки,Допработы,Изменение объёма работ,Шаблон / лид-магнит,Лид-магнит / шаблон,Пакет «Допработы без потерь»,3,3,3 — расширение,/materialy/izmenenie-obema-rabot-obrazec-dokumenta/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
404,изменение объёма работ — сроки и последствия,,Нет,Изменение объёма работ,Требует проверки,Допработы,Изменение объёма работ,Проблемный информационный,Статья базы знаний,Пакет «Допработы без потерь»,4,3,3 — расширение,/baza-znanii/izmenenie-obema-rabot-sroki-i-posledstviya/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
405,изменение объёма работ — для субподрядчика,,Нет,Изменение объёма работ,Требует проверки,Допработы,Изменение объёма работ,Информационный,Статья базы знаний,Пакет «Допработы без потерь»,2,3,3 — расширение,/baza-znanii/izmenenie-obema-rabot-dlya-subpodryadchika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
406,изменение объёма работ — для генподрядчика,,Нет,Изменение объёма работ,Требует проверки,Допработы,Изменение объёма работ,Информационный,Статья базы знаний,Пакет «Допработы без потерь»,2,3,3 — расширение,/baza-znanii/izmenenie-obema-rabot-dlya-genpodryadchika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
407,изменение объёма работ — пошаговый алгоритм,,Нет,Изменение объёма работ,Требует проверки,Допработы,Изменение объёма работ,Информационный,Статья базы знаний,Пакет «Допработы без потерь»,2,3,3 — расширение,/baza-znanii/izmenenie-obema-rabot-poshagovyi-algoritm/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
408,изменение объёма работ — судебная практика,,Нет,Изменение объёма работ,Требует проверки,Допработы,Изменение объёма работ,Информационный,Статья базы знаний,Пакет «Допработы без потерь»,2,3,3 — расширение,/baza-znanii/izmenenie-obema-rabot-sudebnaya-praktika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
409,кс-2 — порядок оформления,,Нет,КС-2,Требует проверки,КС и приёмка,КС-2,Проблемный информационный,Статья базы знаний,Пакет «Закрытие работ»,4,3,3 — расширение,/baza-znanii/ks-2-poryadok-oformleniya/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
410,кс-2 — проверка перед подписанием,,Нет,КС-2,Требует проверки,КС и приёмка,КС-2,Коммерческое исследование,Коммерческая страница,Пакет «Закрытие работ»,5,3,3 — расширение,/proverki/ks-2-proverka-pered-podpisaniem/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
411,кс-2 — типовые ошибки,,Нет,КС-2,Требует проверки,КС и приёмка,КС-2,Проблемный информационный,Статья базы знаний,Пакет «Закрытие работ»,4,3,3 — расширение,/baza-znanii/ks-2-tipovye-oshibki/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
412,кс-2 — что делать подрядчику,,Нет,КС-2,Требует проверки,КС и приёмка,КС-2,Проблемный информационный,Статья базы знаний,Пакет «Закрытие работ»,4,3,3 — расширение,/baza-znanii/ks-2-chto-delat-podryadchiku/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
413,кс-2 — образец документа,,Нет,КС-2,Требует проверки,КС и приёмка,КС-2,Шаблон / лид-магнит,Лид-магнит / шаблон,Пакет «Закрытие работ»,3,3,3 — расширение,/materialy/ks-2-obrazec-dokumenta/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
414,кс-2 — сроки и последствия,,Нет,КС-2,Требует проверки,КС и приёмка,КС-2,Проблемный информационный,Статья базы знаний,Пакет «Закрытие работ»,4,3,3 — расширение,/baza-znanii/ks-2-sroki-i-posledstviya/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
415,кс-2 — для субподрядчика,,Нет,КС-2,Требует проверки,КС и приёмка,КС-2,Информационный,Статья базы знаний,Пакет «Закрытие работ»,2,3,3 — расширение,/baza-znanii/ks-2-dlya-subpodryadchika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
416,кс-2 — для генподрядчика,,Нет,КС-2,Требует проверки,КС и приёмка,КС-2,Информационный,Статья базы знаний,Пакет «Закрытие работ»,2,3,3 — расширение,/baza-znanii/ks-2-dlya-genpodryadchika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
417,кс-2 — пошаговый алгоритм,,Нет,КС-2,Требует проверки,КС и приёмка,КС-2,Информационный,Статья базы знаний,Пакет «Закрытие работ»,2,3,3 — расширение,/baza-znanii/ks-2-poshagovyi-algoritm/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
418,кс-2 — судебная практика,,Нет,КС-2,Требует проверки,КС и приёмка,КС-2,Информационный,Статья базы знаний,Пакет «Закрытие работ»,2,3,3 — расширение,/baza-znanii/ks-2-sudebnaya-praktika/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
419,кс-3 — порядок оформления,,Нет,КС-3,Требует проверки,КС и приёмка,КС-3,Проблемный информационный,Статья базы знаний,Пакет «Закрытие работ»,4,3,3 — расширение,/baza-znanii/ks-3-poryadok-oformleniya/,Запланировано,https://wordstat.yandex.ru/,Плановый long-tail; частотность не присваивалась
